
Input 500 numbers
push[166] : 3
push[167] : 883
push[168] : 684
push[169] : 371
push[170] : 317
push[171] : 100
push[172] : 528
push[173] : 13
push[174] : 739
push[175] : 964
push[176] : 178
push[177] : 379
push[178] : 529
push[179] : 208
push[180] : 728
push[181] : 968
push[182] : 746
push[183] : 541
push[184] : 515
push[185] : 384
push[186] : 937
push[187] : 749
push[188] : 991
push[189] : 848
push[190] : 849
push[191] : 215
push[192] : 302
push[193] : 905
push[194] : 884
push[195] : 303
push[196] : 696
push[197] : 890
push[198] : 43
push[199] : 896
push[200] : 214
push[201] : 281
push[202] : 75
push[203] : 156
push[204] : 970
push[205] : 674
push[206] : 810
push[207] : 833
push[208] : 290
push[209] : 349
push[210] : 395
push[211] : 240
push[212] : 755
push[213] : 930
push[214] : 298
push[215] : 666
push[216] : 243
push[217] : 480
push[218] : 545
push[219] : 703
push[220] : 64
push[221] : 797
push[222] : 963
push[223] : 885
push[224] : 309
push[225] : 171
push[226] : 398
push[227] : 180
push[228] : 792
push[229] : 770
push[230] : 774
push[231] : 867
push[232] : 733
push[233] : 493
push[234] : 44
push[235] : 320
push[236] : 944
push[237] : 554
push[238] : 33
push[239] : 946
push[240] : 737
push[241] : 958
push[242] : 376
push[243] : 53
push[244] : 96
push[245] : 880
push[246] : 843
push[247] : 717
push[248] : 477
push[249] : 162
push[250] : 573
push[251] : 655
push[252] : 809
push[253] : 571
push[254] : 458
push[255] : 132
push[256] : 70
push[257] : 60
push[258] : 2
push[259] : 941
push[260] : 292
push[261] : 154
push[262] : 483
push[263] : 289
push[264] : 536
push[265] : 169
push[266] : 69
push[267] : 381
push[268] : 141
push[269] : 85
push[270] : 650
push[271] : 742
push[272] : 79
push[273] : 751
push[274] : 562
push[275] : 818
push[276] : 765
push[277] : 572
push[278] : 976
push[279] : 788
push[280] : 307
push[281] : 105
push[282] : 872
push[283] : 975
push[284] : 559
push[285] : 652
push[286] : 87
push[287] : 163
push[288] : 253
push[289] : 316
push[290] : 584
push[291] : 614
push[292] : 514
push[293] : 328
push[294] : 165
push[295] : 589
push[296] : 517
push[297] : 432
push[298] : 553
push[299] : 903
push[300] : 259
push[301] : 322
push[302] : 563
push[303] : 672
push[304] : 219
push[305] : 92
push[306] : 36
push[307] : 348
push[308] : 876
push[309] : 669
push[310] : 109
push[311] : 47
push[312] : 663
push[313] : 644
push[314] : 858
push[315] : 744
push[316] : 807
push[317] : 642
push[318] : 497
push[319] : 26
push[320] : 269
push[321] : 147
push[322] : 857
push[323] : 648
push[324] : 924
push[325] : 199
push[326] : 591
push[327] : 680
push[328] : 870
push[329] : 443
push[330] : 264
push[331] : 996
push[332] : 981
push[333] : 284
push[334] : 953
push[335] : 681
push[336] : 457
push[337] : 375
push[338] : 103
push[339] : 146
push[340] : 212
push[341] : 404
push[342] : 661
push[343] : 315
push[344] : 106
push[345] : 927
push[346] : 607
push[347] : 558
push[348] : 334
push[349] : 668
push[350] : 651
push[351] : 494
push[352] : 345
push[353] : 720
push[354] : 86
push[355] : 539
push[356] : 619
push[357] : 192
push[358] : 507
push[359] : 110
push[360] : 416
push[361] : 646
push[362] : 829
push[363] : 403
push[364] : 634
push[365] : 466
push[366] : 622
push[367] : 418
push[368] : 940
push[369] : 183
push[370] : 365
push[371] : 994
push[372] : 578
push[373] : 830
push[374] : 632
push[375] : 202
push[376] : 279
push[377] : 405
push[378] : 436
push[379] : 959
push[380] : 329
push[381] : 464
push[382] : 407
push[383] : 990
push[384] : 861
push[385] : 288
push[386] : 411
push[387] : 631
push[388] : 692
push[389] : 352
push[390] : 805
push[391] : 934
push[392] : 478
push[393] : 206
push[394] : 332
push[395] : 153
push[396] : 819
push[397] : 524
push[398] : 482
push[399] : 522
push[400] : 854
push[401] : 161
push[402] : 983
push[403] : 338
push[404] : 239
push[405] : 377
push[406] : 710
push[407] : 177
push[408] : 758
push[409] : 397
push[410] : 385
push[411] : 537
push[412] : 526
push[413] : 847
push[414] : 449
push[415] : 77
push[416] : 187
push[417] : 453
push[418] : 272
push[419] : 824
push[420] : 596
push[421] : 509
push[422] : 18
push[423] : 952
push[424] : 625
push[425] : 998
push[426] : 32
push[427] : 776
push[428] : 780
push[429] : 472
push[430] : 726
push[431] : 244
push[432] : 949
push[433] : 11
push[434] : 20
push[435] : 887
push[436] : 705
push[437] : 392
push[438] : 231
push[439] : 347
push[440] : 556
push[441] : 613
push[442] : 986
push[443] : 656
push[444] : 714
push[445] : 498
push[446] : 597
push[447] : 249
push[448] : 675
push[449] : 598
push[450] : 962
push[451] : 116
push[452] : 247
push[453] : 939
push[454] : 831
push[455] : 676
push[456] : 439
push[457] : 25
push[458] : 699
push[459] : 743
push[460] : 769
push[461] : 608
push[462] : 149
push[463] : 624
push[464] : 772
push[465] : 715
push[466] : 481
push[467] : 555
push[468] : 148
push[469] : 198
push[470] : 158
push[471] : 520
push[472] : 690
push[473] : 987
push[474] : 670
push[475] : 56
push[476] : 277
push[477] : 895
push[478] : 89
push[479] : 207
push[480] : 747
push[481] : 41
push[482] : 186
push[483] : 452
push[484] : 393
push[485] : 469
push[486] : 321
push[487] : 88
push[488] : 495
push[489] : 465
push[490] : 657
push[491] : 220
push[492] : 341
push[493] : 91
push[494] : 570
push[495] : 510
push[496] : 228
push[497] : 312
push[498] : 567
push[499] : 825

*********Before*********
stack a (size: 500)
[164] [993] [459] [121] [323] [448] [342] [367] [55] [851] [817] [313] [574] [130] [685] [420] [628] [875] [57] [706] [462] [463] [864] [446] [667] [951] [633] [94] [973] [813] [54] [907] [778] [496] [423] [756] [852] [543] [850] [727] [639] [417] [799] [801] [223] [784] [402] [844] [761] [82] [804] [73] [997] [209] [451] [932] [24] [901] [123] [750] [886] [450] [693] [226] [58] [467] [610] [460] [42] [387] [262] [129] [711] [564] [399] [654] [205] [391] [842] [22] [552] [117] [437] [361] [790] [791] [81] [197] [326] [950] [605] [189] [828] [396] [501] [193] [588] [811] [325] [948] [612] [275] [576] [203] [665] [476] [521] [102] [210] [71] [773] [260] [935] [740] [592] [113] [65] [908] [455] [513] [330] [531] [166] [837] [471] [217] [838] [550] [229] [14] [167] [363] [762] [586] [641] [741] [527] [301] [846] [700] [929] [961] [925] [823] [694] [137] [233] [984] [17] [201] [878] [719] [835] [389] [923] [285] [978] [474] [319] [282] [286] [894] [985] [893] [915] [808] [3] [883] [684] [371] [317] [100] [528] [13] [739] [964] [178] [379] [529] [208] [728] [968] [746] [541] [515] [384] [937] [749] [991] [848] [849] [215] [302] [905] [884] [303] [696] [890] [43] [896] [214] [281] [75] [156] [970] [674] [810] [833] [290] [349] [395] [240] [755] [930] [298] [666] [243] [480] [545] [703] [64] [797] [963] [885] [309] [171] [398] [180] [792] [770] [774] [867] [733] [493] [44] [320] [944] [554] [33] [946] [737] [958] [376] [53] [96] [880] [843] [717] [477] [162] [573] [655] [809] [571] [458] [132] [70] [60] [2] [941] [292] [154] [483] [289] [536] [169] [69] [381] [141] [85] [650] [742] [79] [751] [562] [818] [765] [572] [976] [788] [307] [105] [872] [975] [559] [652] [87] [163] [253] [316] [584] [614] [514] [328] [165] [589] [517] [432] [553] [903] [259] [322] [563] [672] [219] [92] [36] [348] [876] [669] [109] [47] [663] [644] [858] [744] [807] [642] [497] [26] [269] [147] [857] [648] [924] [199] [591] [680] [870] [443] [264] [996] [981] [284] [953] [681] [457] [375] [103] [146] [212] [404] [661] [315] [106] [927] [607] [558] [334] [668] [651] [494] [345] [720] [86] [539] [619] [192] [507] [110] [416] [646] [829] [403] [634] [466] [622] [418] [940] [183] [365] [994] [578] [830] [632] [202] [279] [405] [436] [959] [329] [464] [407] [990] [861] [288] [411] [631] [692] [352] [805] [934] [478] [206] [332] [153] [819] [524] [482] [522] [854] [161] [983] [338] [239] [377] [710] [177] [758] [397] [385] [537] [526] [847] [449] [77] [187] [453] [272] [824] [596] [509] [18] [952] [625] [998] [32] [776] [780] [472] [726] [244] [949] [11] [20] [887] [705] [392] [231] [347] [556] [613] [986] [656] [714] [498] [597] [249] [675] [598] [962] [116] [247] [939] [831] [676] [439] [25] [699] [743] [769] [608] [149] [624] [772] [715] [481] [555] [148] [198] [158] [520] [690] [987] [670] [56] [277] [895] [89] [207] [747] [41] [186] [452] [393] [469] [321] [88] [495] [465] [657] [220] [341] [91] [570] [510] [228] [312] [567] [825] 
stack b is empty. 

*************************

Sorting...
ra
ra
pb
ra
pb
ra
pb
ra
pb
pb
pb
pb
pb
pb
pb
ra
ra
pb
pb
pb
pb
ra
pb
pb
ra
pb
pb
ra
ra
ra
ra
ra
pb
pb
pb
ra
ra
pb
ra
ra
pb
ra
pb
ra
pb
pb
pb
pb
ra
ra
pb
pb
pb
pb
pb
pb
ra
pb
pb
pb
ra
ra
ra
ra
ra
ra
ra
ra
pb
pb
ra
ra
pb
pb
ra
ra
pb
pb
pb
pb
ra
pb
ra
pb
pb
ra
pb
pb
pb
ra
pb
ra
pb
pb
ra
ra
ra
pb
ra
ra
pb
ra
ra
ra
ra
pb
pb
pb
ra
ra
ra
pb
pb
pb
pb
pb
pb
pb
ra
ra
ra
ra
ra
pb
ra
ra
ra
pb
ra
pb
pb
ra
pb
pb
ra
ra
pb
pb
ra
ra
pb
ra
pb
ra
pb
pb
ra
ra
ra
ra
pb
pb
ra
ra
pb
ra
pb
ra
pb
ra
pb
ra
pb
pb
ra
ra
ra
pb
ra
pb
ra
ra
ra
ra
ra
pb
pb
pb
pb
ra
pb
ra
ra
ra
ra
pb
ra
ra
pb
ra
pb
pb
ra
pb
ra
pb
ra
ra
ra
ra
ra
pb
ra
pb
pb
pb
ra
pb
ra
pb
ra
ra
pb
ra
ra
pb
pb
ra
ra
pb
ra
ra
ra
pb
pb
pb
pb
ra
pb
ra
pb
ra
ra
ra
pb
ra
ra
ra
ra
pb
pb
ra
pb
pb
pb
ra
ra
ra
ra
ra
ra
pb
pb
ra
ra
ra
pb
pb
pb
pb
pb
ra
pb
pb
pb
ra
ra
ra
ra
pb
pb
pb
ra
ra
pb
ra
ra
pb
ra
ra
ra
pb
ra
pb
ra
pb
pb
pb
pb
pb
ra
pb
pb
ra
pb
pb
pb
ra
pb
ra
ra
ra
ra
ra
pb
pb
pb
ra
ra
ra
pb
ra
pb
ra
pb
pb
pb
pb
ra
ra
ra
ra
ra
ra
ra
pb
ra
ra
pb
ra
pb
ra
ra
pb
pb
pb
pb
ra
ra
pb
pb
pb
ra
ra
ra
ra
ra
pb
ra
pb
ra
pb
ra
ra
ra
pb
ra
pb
pb
ra
pb
pb
ra
ra
ra
pb
pb
pb
ra
pb
pb
pb
pb
pb
ra
pb
ra
ra
pb
pb
pb
pb
pb
ra
ra
ra
ra
pb
pb
ra
ra
ra
pb
ra
pb
pb
pb
pb
ra
ra
pb
pb
pb
pb
pb
ra
ra
ra
pb
ra
ra
ra
ra
pb
pb
pb
pb
pb
pb
pb
ra
ra
pb
ra
pb
ra
pb
ra
ra
pb
pb
ra
pb
pb
ra
pb
ra
ra
pb
pb
ra
ra
ra
ra
ra
pb
pb
ra
ra
ra
pb
ra
pb
pb
ra
pb
pb
pb
pb
ra
pb
pb
ra
ra
pb
pb
pb
pb
pb
ra
ra
ra
ra
pb
pb
ra
pb
pb
pb
pb
pb
ra
ra
ra
pb
pb
pb
ra
ra
ra
pb
ra
ra
ra
pb
pb
pb
ra
ra
ra
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
ra
ra
pb
ra
pb
ra
ra
ra
pb
ra
ra
pb
pb
pb
ra
pb
pb
pb
pb
pb
ra
pb
ra
pb
pb
ra
pb
ra
ra
pb
ra
pb
pb
pb
pb
ra
ra
pb
ra
ra
pb
pb
pb
pb
pb
pb
ra
pb
pb
ra
pb
ra
pb
pb
pb
ra
ra
pb
pb
ra
ra
ra
ra
ra
pb
pb
ra
ra
pb
ra
pb
ra
pb
pb
ra
pb
ra
ra
pb
ra
ra
ra
ra
ra
ra
pb
ra
ra
pb
ra
ra
ra
ra
pb
ra
ra
pb
ra
ra
ra
ra
ra
pb
pb
pb
pb
ra
pb
ra
pb
pb
pb
ra
ra
ra
ra
pb
pb
pb
pb
ra
pb
ra
ra
ra
pb
ra
ra
pb
pb
pb
ra
pb
pb
ra
pb
ra
pb
ra
pb
ra
pb
pb
pb
pb
pb
pb
ra
pb
ra
pb
ra
pb
pb
pb
ra
pb
pb
pb
pb
pb
pb
ra
pb
pb
pb
ra
ra
pb
pb
ra
ra
pb
pb
ra
ra
pb
ra
pb
pb
pb
pb
pb
ra
ra
pb
pb
ra
ra
pb
ra
pb
pb
pb
pb
pb
ra
ra
pb
pb
ra
ra
ra
pb
ra
ra
ra
ra
ra
ra
ra
pb
pb
pb
pb
ra
ra
ra
pb
ra
ra
pb
ra
ra
pb
ra
ra
ra
pb
ra
pb
pb
pb
ra
ra
ra
pb
ra
pb
ra
ra
ra
pb
ra
ra
pb
ra
ra
ra
ra
ra
ra
pb
pb
pb
pb
pb
pb
ra
pb
ra
pb
pb
ra
pb
pb
ra
pb
ra
pb
ra
pb
pb
pb
ra
pb
pb
pb
pb
pb
ra
ra
ra
ra
ra
ra
pb
pb
ra
ra
ra
pb
ra
ra
pb
ra
ra
ra
pb
pb
ra
pb
ra
ra
ra
ra
pb
ra
pb
ra
ra
ra
ra
ra
ra
pb
pb
pb
pb
pb
pb
pb
pb
ra
pb
pb
ra
pb
pb
pb
pb
pb
pb
ra
pb
ra
pb
ra
pb
ra
ra
pb
ra
pb
pb
pb
ra
ra
ra
pb
ra
ra
pb
ra
pb
ra
ra
ra
ra
pb
pb
ra
ra
ra
ra
ra
ra
ra
pb
ra
ra
pb
pb
ra
pb
pb
pb
ra
pb
pb
ra
pb
pb
pb
ra
pb
ra
ra
ra
ra
ra
pb
pb
ra
ra
pb
pb
pb
pb
ra
pb
pb
pb
ra
ra
ra
ra
pb
ra
pb
pb
ra
pb
pb
ra
ra
ra
pb
ra
ra
pb
ra
ra
pb
ra
ra
ra
pb
ra
pb
pb
pb
ra
ra
pb
pb
pb
pb
pb
pb
ra
pb
ra
pb
pb
ra
pb
pb
ra
pb
pb
ra
pb
pb
pb
pb
pb
pb
pb
ra
ra
pb
pb
ra
ra
pb
pb
ra
ra
pb
ra
ra
ra
pb
ra
ra
pb
pb
ra
ra
pb
ra
ra
ra
ra
ra
ra
ra
ra
pb
pb
pb
ra
ra
ra
ra
ra
pb
pb
ra
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
ra
pb
ra
pb
ra
ra
pb
pb
ra
pb
pb
pb
pb
ra
pb
pb
ra
ra
ra
pb
pb
ra
pb
pb
pb
pb
pb
ra
ra
ra
pb
ra
pb
ra
pb
ra
ra
ra
pb
pb
ra
pb
ra
ra
pb
ra
pb
ra
ra
pb
ra
ra
pb
pb
pb
ra
pb
pb
ra
pb
pb
ra
pb
ra
ra
ra
pb
ra
pb
pb
ra
ra
pb
ra
pb
ra
ra
ra
ra
ra
ra
pb
ra
pb
ra
ra
pb
pb
pb
pb
pb
pb
ra
pb
pb
ra
ra
pb
ra
ra
ra
ra
ra
pb
pb
ra
ra
pb
pb
ra
pb
ra
ra
ra
pb
ra
pb
pb
pb
ra
pb
ra
pb
pb
pb
pb
pb
ra
pb
pb
ra
ra
pb
ra
ra
pb
ra
pb
ra
pb
pb
ra
ra
pb
pb
pb
ra
ra
pb
ra
ra
ra
ra
ra
pb
pb
ra
ra
pb
pb
ra
ra
ra
ra
ra
ra
ra
ra
pb
pb
ra
pb
pb
pb
pb
pb
ra
ra
pb
pb
pb
pb
pb
ra
ra
ra
ra
pb
pb
pb
pb
pb
ra
ra
ra
pb
ra
pb
pb
ra
ra
pb
pb
pb
pb
pb
pb
ra
pb
pb
pb
pb
pb
pb
ra
ra
ra
ra
pb
pb
ra
pb
pb
ra
ra
ra
pb
ra
pb
ra
pb
ra
pb
ra
ra
ra
ra
pb
pb
ra
pb
pb
ra
ra
ra
ra
ra
pb
pb
ra
pb
pb
ra
pb
pb
pb
pb
pb
ra
pb
ra
pb
pb
pb
pb
pb
pb
ra
ra
pb
pb
ra
pb
ra
pb
ra
pb
pb
ra
ra
pb
ra
ra
pb
ra
ra
pb
ra
ra
ra
ra
pb
ra
ra
pb
pb
pb
ra
ra
ra
pb
ra
pb
ra
pb
ra
pb
ra
ra
ra
pb
ra
ra
ra
pb
pb
pb
ra
pb
pb
ra
pb
pb
pb
ra
ra
pb
ra
pb
ra
ra
ra
pb
ra
pb
ra
ra
ra
pb
ra
pb
pb
pb
ra
pb
pb
ra
ra
ra
ra
ra
ra
pb
pb
ra
pb
ra
ra
ra
ra
pb
pb
pb
ra
pb
pb
ra
pb
pb
pb
pb
pb
ra
ra
ra
pb
ra
ra
pb
pb
ra
ra
ra
pb
pb
pb
pb
ra
ra
pb
ra
ra
pb
ra
pb
ra
pb
ra
ra
ra
ra
ra
pb
pb
ra
ra
pb
ra
pb
pb
ra
pb
ra
pb
pb
ra
ra
ra
ra
ra
pb
ra
ra
ra
pb
pb
pb
pb
pb
ra
ra
pb
pb
ra
ra
ra
pb
pb
ra
ra
ra
pb
ra
pb
pb
pb
pb
ra
pb
pb
pb
ra
pb
pb
pb
pb
pb
ra
ra
ra
ra
ra
pb
pb
pb
ra
pb
ra
pb
pb
ra
pb
pb
ra
pb
pb
ra
ra
pb
ra
pb
pb
ra
ra
ra
pb
pb
ra
pb
ra
pb
pb
ra
ra
ra
ra
pb
pb
pb
ra
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
ra
ra
pb
ra
pb
pb
ra
ra
pb
pb
pb
pb
pb
ra
pb
ra
ra
ra
pb
pb
ra
pb
ra
pb
ra
ra
ra
pb
pb
ra
pb
pb
pb
ra
ra
ra
ra
ra
pb
ra
pb
pb
ra
pb
pb
ra
ra
pb
ra
pb
ra
pb
ra
ra
pb
pb
pb
ra
ra
pb
pb
pb
ra
ra
pb
ra
pb
pb
ra
ra
ra
ra
ra
pb
ra
ra
ra
ra
pb
ra
pb
pb
pb
ra
pb
ra
pb
pb
pb
ra
ra
ra
pb
pb
ra
ra
ra
ra
pb
pb
pb
ra
ra
ra
ra
pb
pb
pb
pb
pb
ra
pb
ra
pb
pb
pb
ra
pb
pb
pb
ra
pb
ra
pb
ra
pb
ra
ra
pb
pb
ra
pb
pb
ra
pb
pb
ra
pb
ra
pb
ra
ra
ra
ra
ra
pb
ra
ra
pb
ra
pb
pb
pb
pb
pb
pb
ra
pb
ra
pb
ra
pb
pb
ra
ra
ra
ra
pb
ra
ra
pb
ra
pb
pb
pb
pb
pb
ra
pb
ra
ra
ra
pb
ra
ra
pb
ra
pb
pb
ra
pb
pb
pb
ra
ra
ra
ra
pb
ra
ra
pb
pb
ra
ra
pb
pb
pb
pb
ra
ra
pb
ra
ra
ra
pb
ra
pb
ra
pb
pb
pb
pb
pb
ra
pb
ra
pb
pb
ra
ra
ra
pb
pb
pb
pb
pb
pb
ra
ra
pb
pb
ra
ra
ra
ra
pb
ra
ra
pb
ra
pb
ra
pb
ra
ra
ra
pb
ra
pb
pb
ra
pb
pb
pb
ra
ra
ra
ra
pb
pb
ra
pb
ra
pb
ra
ra
pb
pb
pb
pb
ra
pb
ra
ra
pb
pb
ra
ra
ra
ra
pb
pb
ra
ra
ra
ra
pb
pb
pb
ra
ra
ra
ra
pb
pb
pb
pb
pb
ra
pb
pb
pb
ra
ra
ra
ra
ra
pb
pb
pb
pb
pb
ra
ra
pb
pb
pb
pb
ra
ra
ra
pb
pb
ra
ra
pb
pb
ra
pb
ra
pb
pb
ra
ra
ra
ra
pb
ra
pb
ra
pb
ra
ra
ra
ra
pb
ra
pb
pb
ra
ra
pb
ra
ra
ra
ra
pb
pb
pb
pb
ra
pb
ra
pb
pb
pb
pb
ra
pb
pb
ra
pb
pb
ra
pb
ra
ra
ra
pb
ra
pb
pb
pb
pb
pb
ra
pb
ra
pb
ra
pb
pb
ra
pb
ra
ra
ra
ra
pb
ra
ra
ra
pb
ra
pb
pb
ra
ra
ra
ra
ra
pb
pb
pb
ra
pb
pb
pb
pb
ra
pb
ra
ra
ra
ra
pb
pb
ra
ra
pb
pb
pb
pb
ra
ra
pb
pb
ra
ra
ra
ra
pb
pb
ra
ra
ra
pb
pb
ra
ra
pb
ra
pb
pb
ra
pb
ra
pb
ra
ra
pb
pb
pb
pb
ra
ra
ra
pb
pb
ra
ra
pb
ra
pb
pb
pb
ra
ra
pb
ra
ra
pb
pb
ra
pb
pb
ra
ra
ra
pb
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
